support,itemsets
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Dune', ""Zack Snyder's Justice League"", 'John Wick: Chapter 4', 'The Batman', 'The Suicide Squad']"
0.003395585738539898,"['Dune', 'The Father']"
0.003395585738539898,"['Knives Out', 'The Father']"
0.003395585738539898,"['Everything Everywhere All at Once', 'The Father']"
0.003395585738539898,"['Once Upon a Time... in Hollywood', 'The Father']"
0.003395585738539898,"['Glass Onion: A Knives Out Mystery', 'The Father']"
0.003395585738539898,"['Edge of Tomorrow', 'Batman Begins']"
0.003395585738539898,"['Poor Things', 'The Zone of Interest']"
0.003395585738539898,"['Oppenheimer', 'Poor Things']"
0.003395585738539898,"['The Zone of Interest', 'Killers of the Flower Moon']"
0.004244482173174873,"['John Wick: Chapter 4', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Superman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
