user_id,movie_id,movie_title,score,rank
All Things Movies and TV,575264,Mission: Impossible - Dead Reckoning Part One,0.25,7
All Things Movies and TV,315162,Puss in Boots: The Last Wish,0.24,8
All Things Movies and TV,27205,Inception,0.24,9
All Things Movies and TV,297802,Aquaman,0.23,10
Almando,1233413,Sinners,0.74,1
Almando,402431,Wicked,0.69,2
Almando,1233575,Black Bag,0.36,3
Almando,701387,Bugonia,0.35,4
Almando,1140498,Is This Thing On?,0.35,5
Almando,1259102,Eternity,0.35,6
Almando,1160360,If I Had Legs I'd Kick You,0.33,7
Almando,549509,The Brutalist,0.32,8
Almando,967941,Wicked: For Good,0.32,9
Almando,696506,Mickey 17,0.32,10
AlphaonTrakt,810123,Nobody 2,0.86,1
AlphaonTrakt,1005789,Roofman,0.73,2
AlphaonTrakt,897095,Good Fortune,0.72,3
AlphaonTrakt,1270365,The Muppet Show,0.68,4
AlphaonTrakt,1050875,Solo Mio,0.66,5
AlphaonTrakt,948183,The Bad Guys 2,0.58,6
AlphaonTrakt,1028536,Bad Man,0.53,7
AlphaonTrakt,1010850,Playdate,0.49,8
AlphaonTrakt,947485,Fackham Hall,0.47,9
AlphaonTrakt,1112909,The Family Plan 2,0.45,10
AltarOfSins,1270365,The Muppet Show,0.0,1
AltarOfSins,9502,Kung Fu Panda,0.0,2
AltarOfSins,474350,It Chapter Two,0.0,3
AltarOfSins,1172905,AEW Dynasty 2025,0.0,4
AltarOfSins,1084242,Zootopia 2,0.0,5
AltarOfSins,1167078,STRAW,0.0,6
AltarOfSins,853702,Superman,0.0,7
AltarOfSins,1166945,WWE Clash in Paris 2025,0.0,8
AltarOfSins,1217313,AEW All Out 2025,0.0,9
AltarOfSins,269149,Zootopia,0.0,10
AmazoniaNOTAmazon,679,Aliens,0.63,1
AmazoniaNOTAmazon,348,Alien,0.39,2
AmazoniaNOTAmazon,245891,John Wick,0.23,3
AmazoniaNOTAmazon,567609,Ready or Not,0.23,4
AmazoniaNOTAmazon,339403,Baby Driver,0.23,5
AmazoniaNOTAmazon,313369,La La Land,0.21,6
AmazoniaNOTAmazon,141,Donnie Darko,0.2,7
AmazoniaNOTAmazon,209112,Batman v Superman: Dawn of Justice,0.2,8
AmazoniaNOTAmazon,268,Batman,0.19,9
AmazoniaNOTAmazon,95,Armageddon,0.19,10
Amos Burton,634649,Spider-Man: No Way Home,0.03,1
Amos Burton,414906,The Batman,0.02,2
Amos Burton,616037,Thor: Love and Thunder,0.02,3
Amos Burton,505642,Black Panther: Wakanda Forever,0.02,4
Amos Burton,312221,Creed,0.02,5
Amos Burton,361743,Top Gun: Maverick,0.02,6
Amos Burton,646385,Scream,0.02,7
Amos Burton,502356,The Super Mario Bros. Movie,0.02,8
Amos Burton,934433,Scream VI,0.02,9
Amos Burton,1091,The Thing,0.02,10
Andres Gomez,389,12 Angry Men,10.12,1
Andres Gomez,694,The Shining,9.99,2
Andres Gomez,705,All About Eve,9.75,3
Andres Gomez,244786,Whiplash,9.39,4
Andres Gomez,50014,The Help,9.38,5
Andres Gomez,269149,Zootopia,9.27,6
Andres Gomez,87827,Life of Pi,8.95,7
Andres Gomez,3090,The Treasure of the Sierra Madre,8.7,8
Andres Gomez,102651,Maleficent,8.68,9
Andres Gomez,76203,12 Years a Slave,8.26,10
Angel Rodríguez,278,The Shawshank Redemption,0.92,1
Angel Rodríguez,9340,The Goonies,0.48,2
Angel Rodríguez,533535,Deadpool & Wolverine,0.44,3
Angel Rodríguez,238,The Godfather,0.4,4
Angel Rodríguez,8681,Taken,0.39,5
Angel Rodríguez,399579,Alita: Battle Angel,0.38,6
Angel Rodríguez,11324,Shutter Island,0.35,7
Angel Rodríguez,597,Titanic,0.35,8
Angel Rodríguez,9802,The Rock,0.35,9
Angel Rodríguez,37165,The Truman Show,0.33,10
AngelPlushed,1270365,The Muppet Show,0.03,1
AngelPlushed,897095,Good Fortune,0.02,2
AngelPlushed,810123,Nobody 2,0.02,3
AngelPlushed,948183,The Bad Guys 2,0.02,4
AngelPlushed,1005789,Roofman,0.02,5
AngelPlushed,1010850,Playdate,0.02,6
AngelPlushed,848797,One Battle After Another,0.02,7
AngelPlushed,1050875,Solo Mio,0.01,8
AngelPlushed,947485,Fackham Hall,0.01,9
AngelPlushed,392717,Ballerina,0.01,10
Angelishere,977993,Fight or Flight,0.01,1
Angelishere,871499,Zootopia 2,0.01,2
Angelishere,646497,Wake Up Dead Man: A Knives Out Mystery,0.01,3
Angelishere,832642,The Naked Gun,0.01,4
Angelishere,1045938,Dangerous Animals,0.01,5
Angelishere,787126,Freaky Tales,0.01,6
Angelishere,633799,The Running Man,0.01,7
Angelishere,634944,The Bluff,0.01,8
Angelishere,1050424,Shelter,0.01,9
Angelishere,553090,Rust,0.01,10
Anonymousse,1081550,"Sorry, Baby",0.91,1
Anonymousse,972436,Rental Family,0.79,2
Anonymousse,1093997,Splitsville,0.67,3
Anonymousse,1008533,Twinless,0.65,4
Anonymousse,673313,Sacramento,0.63,5
Anonymousse,792648,HIM,0.59,6
Anonymousse,1020977,Eternity,0.57,7
Anonymousse,1002828,Friendship,0.55,8
Anonymousse,1103676,The Mastermind,0.54,9
Anonymousse,1095828,"Oh, Hi!",0.51,10
Antonio Alaminos-Fernández,564,The Mummy,0.13,1
Antonio Alaminos-Fernández,640,Catch Me If You Can,0.13,2
Antonio Alaminos-Fernández,284054,Black Panther,0.13,3
Antonio Alaminos-Fernández,679,Aliens,0.12,4
Antonio Alaminos-Fernández,127585,X-Men: Days of Future Past,0.12,5
Antonio Alaminos-Fernández,447332,A Quiet Place,0.11,6
Antonio Alaminos-Fernández,353486,Jumanji: Welcome to the Jungle,0.11,7
Antonio Alaminos-Fernández,70,Million Dollar Baby,0.1,8
Antonio Alaminos-Fernández,954,Mission: Impossible,0.1,9
Antonio Alaminos-Fernández,927,Gremlins,0.1,10
Antonio Ba,646497,Wake Up Dead Man: A Knives Out Mystery,0.75,1
Antonio Ba,585381,The Thursday Murder Club,0.66,2
Antonio Ba,1145888,The Perfect Neighbor,0.65,3
Antonio Ba,1000306,The Lost Bus,0.58,4
Antonio Ba,1251092,All the Empty Rooms,0.56,5
Antonio Ba,1163238,Armed Only with a Camera: The Life and Death of Brent Renaud,0.55,6
Antonio Ba,1193274,Titanic: The Digital Resurrection,0.5,7
Antonio Ba,1033235,Jane Austen's Period Drama,0.48,8
Antonio Ba,1004891,Warfare,0.48,9
Antonio Ba,853702,Superman,0.48,10
Appfel,361743,Top Gun: Maverick,0.2,1
Appfel,670292,The Creator,0.16,2
Appfel,800158,The Killer,0.16,3
Appfel,985939,Fall,0.16,4
Appfel,467244,The Zone of Interest,0.16,5
Appfel,76600,Avatar: The Way of Water,0.16,6
Appfel,766507,Prey,0.15,7
Appfel,1196573,She Rides Shotgun,0.14,8
Appfel,436270,Black Adam,0.14,9
Appfel,1198984,We Bury the Dead,0.13,10
AquaTofana,1029272,The Roses,0.43,1
AquaTofana,1005440,A Big Bold Beautiful Journey,0.35,2
AquaTofana,1270365,The Muppet Show,0.34,3
