user_idx,movie_idx,rating_scaled
977,2080,0.0
1205,415,0.4444444444444445
545,2312,0.6666666666666665
3478,139,0.5555555555555556
99,1667,0.7777777777777777
472,1365,0.8888888888888888
1571,648,0.5555555555555556
3094,559,1.0
472,1933,0.6666666666666665
183,44,0.5555555555555556
62,1483,0.4444444444444445
681,1856,0.4444444444444445
1688,155,0.8888888888888888
1996,758,0.6666666666666665
1795,99,0.4444444444444445
352,1885,1.0
183,1999,0.6666666666666665
3181,1313,0.1111111111111111
873,1927,0.6666666666666665
1013,1882,0.2222222222222222
715,2617,0.6666666666666665
491,2273,0.3333333333333333
968,288,0.6666666666666665
3405,451,0.3333333333333333
650,1610,0.8888888888888888
2298,1045,0.0
1433,399,0.4444444444444445
3366,221,0.4444444444444445
847,536,0.1111111111111111
78,2271,0.5555555555555556
104,828,0.7777777777777777
2881,1231,0.5555555555555556
3386,1688,0.0
202,1807,0.6666666666666665
319,2279,0.6666666666666665
2809,1206,1.0
455,1712,0.3333333333333333
1533,589,0.5555555555555556
2456,2418,0.0
133,23,0.7777777777777777
826,1890,0.5555555555555556
827,399,0.7777777777777777
787,1659,0.6666666666666665
183,1679,0.5555555555555556
2516,585,0.4444444444444445
968,1898,0.8888888888888888
1711,2004,0.7777777777777777
694,285,1.0
1711,1444,0.8888888888888888
1745,249,0.0
91,2038,0.8888888888888888
968,287,0.4444444444444445
727,1739,0.7777777777777777
419,2008,0.7777777777777777
1474,46,0.1111111111111111
940,2516,0.8888888888888888
968,1927,0.5555555555555556
197,249,0.2222222222222222
866,2474,1.0
138,2028,0.6666666666666665
447,234,0.5555555555555556
968,1485,0.5555555555555556
1421,25,0.7777777777777777
998,2663,0.1111111111111111
2653,1615,0.4444444444444445
682,2062,0.8888888888888888
453,1386,0.6666666666666665
381,556,0.0
1711,2312,0.4444444444444445
183,2012,0.5555555555555556
1252,535,0.5555555555555556
1178,225,0.5555555555555556
2477,1091,0.1111111111111111
61,882,0.5555555555555556
545,1977,0.6666666666666665
545,2419,0.6666666666666665
1711,2020,0.8888888888888888
947,631,0.7777777777777777
3337,1638,0.8888888888888888
1571,2214,0.0
453,1688,0.7777777777777777
1020,1383,0.5555555555555556
354,592,0.6666666666666665
354,1775,0.3333333333333333
453,2102,1.0
1548,2639,0.5555555555555556
555,1811,0.7777777777777777
1480,262,0.5555555555555556
873,1832,0.6666666666666665
211,2295,1.0
491,141,0.6666666666666665
1399,2434,0.5555555555555556
193,2032,0.2222222222222222
524,1628,0.6666666666666665
562,1907,0.8888888888888888
392,2236,0.0
365,215,0.6666666666666665
1711,1803,0.7777777777777777
1929,243,0.5555555555555556
2622,595,0.4444444444444445
491,2310,0.4444444444444445
575,2273,0.2222222222222222
582,2464,0.3333333333333333
1294,38,0.5555555555555556
2963,582,0.2222222222222222
1772,138,0.4444444444444445
545,2293,1.0
2496,1098,0.4444444444444445
352,1867,1.0
2491,22,0.3333333333333333
752,457,0.5555555555555556
2922,2471,0.5555555555555556
239,2401,0.5555555555555556
857,1787,0.7777777777777777
136,2136,0.5555555555555556
1711,212,0.7777777777777777
1836,1467,0.4444444444444445
1557,866,1.0
477,2272,0.8888888888888888
600,2381,0.2222222222222222
1283,2421,0.6666666666666665
402,52,1.0
159,2630,0.8888888888888888
3498,2414,0.2222222222222222
545,8,1.0
1607,129,0.7777777777777777
3154,1307,0.5555555555555556
68,151,0.2222222222222222
1308,2099,0.6666666666666665
29,271,0.7777777777777777
3337,2510,0.8888888888888888
1125,2632,0.4444444444444445
600,2499,0.3333333333333333
679,1885,0.2222222222222222
329,843,0.2222222222222222
2038,2327,0.3333333333333333
170,715,1.0
183,1584,0.6666666666666665
1612,101,0.7777777777777777
1711,2428,0.6666666666666665
1756,851,0.6666666666666665
453,1556,0.6666666666666665
274,1607,0.7777777777777777
545,2104,0.6666666666666665
1571,2561,0.7777777777777777
354,1624,0.6666666666666665
715,285,0.6666666666666665
341,884,0.7777777777777777
1328,708,1.0
3145,723,0.5555555555555556
3337,1411,1.0
29,226,0.4444444444444445
345,1975,0.6666666666666665
354,1434,0.4444444444444445
1132,2255,0.5555555555555556
352,1593,1.0
1740,1822,0.5555555555555556
875,1958,1.0
1364,88,0.7777777777777777
873,2041,1.0
179,2234,0.3333333333333333
3126,1298,0.0
2118,987,0.5555555555555556
193,280,0.7777777777777777
136,568,0.3333333333333333
2716,754,0.6666666666666665
1711,396,0.6666666666666665
1180,464,0.8888888888888888
1596,54,0.3333333333333333
508,1988,0.4444444444444445
1808,328,0.5555555555555556
61,346,0.6666666666666665
71,1610,0.7777777777777777
874,152,0.8888888888888888
3498,2627,0.7777777777777777
183,2546,0.6666666666666665
873,1624,0.8888888888888888
2710,2661,0.5555555555555556
2766,309,0.3333333333333333
29,208,0.5555555555555556
2059,229,0.5555555555555556
3349,230,0.6666666666666665
1633,10,1.0
1711,2061,0.6666666666666665
3337,2244,1.0
873,1828,0.7777777777777777
3215,2632,0.3333333333333333
545,2521,0.5555555555555556
1399,2588,0.1111111111111111
1013,17,0.5555555555555556
453,2063,0.7777777777777777
1597,492,0.4444444444444445
56,1736,0.7777777777777777
814,2278,0.5555555555555556
2864,2205,0.3333333333333333
1711,1659,0.7777777777777777
1986,2305,0.5555555555555556
1711,504,0.6666666666666665
2941,1245,0.4444444444444445
352,2101,0.1111111111111111
762,2034,0.2222222222222222
319,199,0.5555555555555556
1669,1369,0.5555555555555556
1268,631,0.6666666666666665
453,1512,0.8888888888888888
61,2063,0.6666666666666665
472,1426,0.6666666666666665
545,2073,0.3333333333333333
619,285,0.7777777777777777
1681,2354,0.4444444444444445
1663,2603,0.3333333333333333
1570,1807,0.6666666666666665
1272,2206,0.4444444444444445
183,70,0.5555555555555556
1247,1625,1.0
545,1686,0.6666666666666665
87,542,0.8888888888888888
535,2087,1.0
851,1457,0.0
183,2115,0.5555555555555556
444,386,0.3333333333333333
658,187,0.5555555555555556
2810,313,0.5555555555555556
1483,2633,1.0
314,2520,0.4444444444444445
3174,2494,0.3333333333333333
1711,2191,0.7777777777777777
2061,390,0.4444444444444445
582,2490,0.6666666666666665
3396,2300,1.0
2190,1008,0.6666666666666665
1079,1383,0.7777777777777777
2973,300,0.4444444444444445
452,541,1.0
1449,2005,0.3333333333333333
832,2205,0.5555555555555556
2829,2568,1.0
545,2027,0.6666666666666665
1195,616,1.0
1007,221,0.3333333333333333
873,1406,0.5555555555555556
430,1729,0.6666666666666665
968,94,0.7777777777777777
191,89,0.7777777777777777
3419,2243,0.6666666666666665
1072,1754,1.0
1390,1770,0.8888888888888888
29,2392,0.4444444444444445
419,2083,0.7777777777777777
183,684,0.7777777777777777
2722,2563,0.8888888888888888
183,2508,0.5555555555555556
2786,1196,0.6666666666666665
1331,1688,0.6666666666666665
968,1980,0.7777777777777777
715,1812,0.4444444444444445
3204,477,0.2222222222222222
681,2307,0.7777777777777777
329,173,0.5555555555555556
431,1948,1.0
136,563,0.3333333333333333
453,1491,0.5555555555555556
871,514,0.5555555555555556
3366,340,0.3333333333333333
1545,2255,0.7777777777777777
1607,695,0.5555555555555556
873,1681,0.6666666666666665
191,2100,0.7777777777777777
453,1740,0.6666666666666665
14,2032,0.3333333333333333
600,1422,0.4444444444444445
600,2516,0.6666666666666665
1663,26,0.1111111111111111
2703,327,0.0
61,2219,0.7777777777777777
183,2091,0.6666666666666665
917,1834,0.5555555555555556
1548,2465,0.6666666666666665
1573,2420,0.3333333333333333
179,1831,0.7777777777777777
1752,2127,0.7777777777777777
352,2161,0.0
679,1872,0.4444444444444445
545,1732,0.8888888888888888
183,1534,0.5555555555555556
2894,842,0.1111111111111111
61,1418,0.5555555555555556
352,1724,0.0
1155,2236,0.7777777777777777
3030,465,0.4444444444444445
1653,135,1.0
2211,1698,0.4444444444444445
352,2536,1.0
183,1758,0.6666666666666665
1031,2022,0.7777777777777777
1194,2325,0.1111111111111111
690,1450,0.7777777777777777
306,623,0.2222222222222222
467,1910,0.7777777777777777
524,2008,0.8888888888888888
472,2017,0.5555555555555556
1279,1988,0.4444444444444445
3435,2637,0.3333333333333333
1711,1668,0.6666666666666665
1771,2209,0.8888888888888888
2269,199,0.0
1194,2231,0.5555555555555556
1740,312,0.4444444444444445
360,584,0.0
136,1880,0.6666666666666665
681,1948,0.5555555555555556
